ACCIDENT_NUMBER,EVENT_DATE,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
CEN15FA190,4/7/2015,BLOOMINGTON, IL,40.496111,-88.868056,FATAL(7),SUBSTANTIAL,AIRPLANE,CESSNA,414A,7,0,0
ERA11FA391,7/9/2011,DEMOPOLIS, AL,32.479723,-87.948055,FATAL(7),SUBSTANTIAL,AIRPLANE,CESSNA,421C,7,0,0
ANC20MA010,12/26/2019,LIHUE, HI,22.161667,-159.626389,FATAL(7),SUBSTANTIAL,HELICOPTER,AIRBUS,AS350B2,7,0,0
ANC20LA074A,7/31/2020,SOLDOTNA, AK,60.495555,-151.01693,FATAL,DESTROYED,AIRPLANE,DE HAVILLAND,DHC-2,7,0,0
ANC20LA074B,7/31/2020,SOLDOTNA, AK,60.495555,-151.01693,FATAL,DESTROYED,AIRPLANE,PIPER,PA 12,7,0,0
ERA20MA001,10/2/2019,WINDSOR LOCKS, CT,41.931667,-72.692222,FATAL(7),DESTROYED,AIRPLANE,BOEING,B17,7,7,0
WPR12MA046,11/23/2011,APACHE JUNCTION, AZ,33.439166,-111.450556,FATAL(6),DESTROYED,AIRPLANE,ROCKWELL,690,6,0,0
CEN17FA248,7/1/2017,CATAWBA, WI,45.555278,-90.495,FATAL(6),DESTROYED,AIRPLANE,CESSNA,421C,6,0,0
CEN17FA072,12/29/2016,CLEVELAND, OH,41.554722,-81.703333,FATAL(6),DESTROYED,AIRPLANE,CESSNA,525,6,0,0
ERA16FA288,8/12/2016,FREDERICKSBURG, VA,38.262778,-77.453056,FATAL(6),SUBSTANTIAL,AIRPLANE,BEECH,95 B55 (T42A),6,0,0
DCA15MA029,12/8/2014,GAITHERSBURG, MD,39.180278,-77.180556,FATAL(6),DESTROYED,AIRPLANE,EMBRAER,EMB-500,6,0,0
CEN19FA124,4/22/2019,KERRVILLE, TX,30.0375,-99.185833,FATAL(6),SUBSTANTIAL,AIRPLANE,BEECH,58,6,0,0
CEN19MA141B,5/13/2019,KETCHIKAN, AK,55.425556,-131.505,FATAL(6),SUBSTANTIAL,AIRPLANE,DE HAVILLAND,DHC-3,6,10,0
CEN19MA141A,5/13/2019,KETCHIKAN, AK,55.425556,-131.505,FATAL(6),DESTROYED,AIRPLANE,DE HAVILLAND,DHC-2,6,10,0
ERA12FA385,6/7/2012,LAKE WALES, FL,27.823056,-81.477223,FATAL(6),SUBSTANTIAL,AIRPLANE,PILATUS AIRCRAFT LTD,PC-12/47,6,0,0
ERA16FA289,8/14/2016,NORTHPORT, AL,33.222778,-87.599722,FATAL(6),SUBSTANTIAL,AIRPLANE,PIPER,PA 31,6,0,0
WPR18FA119,4/9/2018,SCOTTSDALE, AZ,33.635555,-111.897777,FATAL(6),DESTROYED,AIRPLANE,PIPER,PA 24-260,6,0,0
ANC10MA068,8/9/2010,ALEKNAGIK, AK,59.323889,-158.370834,FATAL(5),SUBSTANTIAL,AIRPLANE,DEHAVILLAND,DHC-3,5,4,0
ERA15FA359,9/16/2015,ALMA, GA,31.536111,-82.386389,FATAL(5),DESTROYED,AIRPLANE,BOATRIGHT WAYLON,RV10,5,0,0
CEN10MA367,7/4/2010,ALPINE, TX,30.400833,-103.665833,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,421B,5,0,0
WPR16FA041,12/19/2015,BAKERSFIELD, CA,35.288055,-119.1475,FATAL(5),DESTROYED,AIRPLANE,PIPER,PA 32RT-300T,5,0,0
CEN18FA061,12/24/2017,BARTOW, FL,27.946389,-81.773889,FATAL(5),DESTROYED,AIRPLANE,CESSNA,340,5,0,0
CEN12FA108,12/19/2011,BRYAN, TX,30.947222,-96.268611,FATAL(5),SUBSTANTIAL,AIRPLANE,PIPER,PA-32-260,5,0,0
WPR10FA133,2/14/2010,CAVE CREEK, AZ,33.848055,-111.925278,FATAL(5),SUBSTANTIAL,HELICOPTER,EUROCOPTER,EC135,5,0,0
ANC11FA037,5/27/2011,CHUGIAK, AK,61.414722,-149.506667,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,180,5,0,0
ERA20LA206,6/5/2020,EATONTON, GA,33.381389,-83.328887,FATAL,DESTROYED,AIRPLANE,PIPER,PA 31T,5,0,0
CEN14FA467,8/31/2014,ERIE, CO,40.011944,-105.052778,FATAL(5),DESTROYED,AIRPLANE,PIPER,PA 46 350P,5,0,0
ERA10FA140,2/15/2010,FARMINGDALE, NJ,40.189444,-74.119167,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,T337G,5,0,0
ERA12FA225,3/15/2012,FRANKLIN, NC,35.220556,-83.425556,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,501,5,0,0
WPR16FA116,5/23/2016,HANAPEPE, HI,21.895833,-159.599722,FATAL(5),DESTROYED,AIRPLANE,CESSNA,182,5,0,0
CEN20MA044,12/28/2019,LAFAYETTE, LA,30.176111,-92.0075,FATAL(5),DESTROYED,AIRPLANE,PIPER,PA 31T,5,4,0
CEN20FA001,10/3/2019,LANSING, MI,42.780278,-84.606111,FATAL(5),SUBSTANTIAL,AIRPLANE,SOCATA,TBM 700,5,1,0
DCA12MA020,12/7/2011,LAS VEGAS, NV,36.066667,-115.153889,FATAL(5),DESTROYED,HELICOPTER,EUROCOPTER FRANCE,AS350B2,5,0,0
WPR11FA166,3/16/2011,LONG BEACH, CA,33.817223,-118.156389,FATAL(5),SUBSTANTIAL,AIRPLANE,BEECH,200,5,1,0
ERA12FA115,12/20/2011,MORRISTOWN, NJ,40.776389,-74.476389,FATAL(5),DESTROYED,AIRPLANE,SOCATA,TBM 700,5,0,0
ERA18MA099,3/11/2018,NEW YORK, NY,40.775556,-73.94,FATAL(5),SUBSTANTIAL,HELICOPTER,AMERICAN EUROCOPTER CORP,AS350B2,5,1,0
ERA13FA336,7/27/2013,NOXEN, PA,41.454722,-76.092222,FATAL(5),DESTROYED,HELICOPTER,ROBINSON,R66,5,0,0
WPR19FA093,3/8/2019,PAHOKEE, FL,26.790277,-80.692777,FATAL(5),DESTROYED,AIRPLANE,PIPER,PA23,5,0,0
ERA16FA144,4/4/2016,PIGEON FORGE, TN,35.825278,-83.568334,FATAL(5),DESTROYED,HELICOPTER,BELL,206,5,0,0
CEN18FA310,8/4/2018,PONCA CITY, OK,36.763611,-97.150278,FATAL(5),DESTROYED,AIRPLANE,EXTRA,EA 400,5,0,0
WPR12MA034,11/10/2011,PUKOO, HI,21.0675,-156.843055,FATAL(5),SUBSTANTIAL,HELICOPTER,EUROCOPTER,EC 130 B4,5,0,0
CEN18FA078,1/17/2018,RATON, NM,36.704444,-104.286666,FATAL(5),DESTROYED,HELICOPTER,BELL,UH-1H,5,1,0
CEN14FA167,3/22/2014,RIDGWAY, CO,38.218056,-107.745277,FATAL(5),SUBSTANTIAL,AIRPLANE,SOCATA,TBM 700,5,0,0
CEN10FA324,6/17/2010,RUIDOSO, NM,33.468611,-105.508611,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,T310R,5,2,0
ANC16FA061A,8/31/2016,RUSSIAN MISSION, AK,61.798055,-161.498889,FATAL(5),DESTROYED,AIRPLANE,CESSNA,208,5,0,0
ANC16FA061B,8/31/2016,RUSSIAN MISSION, AK,61.798055,-161.498889,FATAL(5),DESTROYED,AIRPLANE,PIPER,PA18,5,0,0
WPR15MA243A,8/16/2015,SAN DIEGO, CA,32.5775,-116.948889,FATAL(5),DESTROYED,AIRPLANE,CESSNA,172M,5,0,0
WPR15MA243B,8/16/2015,SAN DIEGO, CA,32.5775,-116.948889,FATAL(5),SUBSTANTIAL,AIRPLANE,NORTH AMERICAN ROCKWELL,NA265-60SC,5,0,0
WPR18FA211,8/5/2018,SANTA ANA, CA,33.696111,-117.884444,FATAL(5),SUBSTANTIAL,AIRPLANE,CESSNA,414,5,0,0
WPR12FA369,8/25/2012,SOUTH LAKE TAHOE, CA,38.893889,-119.995277,FATAL(5),SUBSTANTIAL,AIRPLANE,PIPER,PA-32-301T,5,0,0
ANC18FA063,8/4/2018,TALKEETNA, AK,62.790277,-151.225278,FATAL(5),SUBSTANTIAL,AIRPLANE,DE HAVILLAND,DHC-2,5,0,0
ERA13MA139,2/20/2013,THOMSON, GA,33.529445,-82.499722,FATAL(5),DESTROYED,AIRPLANE,BEECH,390,5,2,0
ANC20FA017,2/6/2020,TUNTUTULIAK, AK,60.351667,-163.023056,FATAL(5),SUBSTANTIAL,AIRPLANE,PIPER,PA32R,5,0,0
CEN12FA633,9/15/2012,WILLARD, MO,37.341944,-93.466945,FATAL(5),SUBSTANTIAL,AIRPLANE,CIRRUS DESIGN CORP,SR22,5,0,0
WPR14FA094,12/1/2013,YELLOW PINE, ID,44.913056,-115.485,FATAL(5),DESTROYED,AIRPLANE,BEECH,B36TC,5,0,0
WPR19FA079,2/3/2019,YORBA LINDA, CA,33.871945,-117.786666,FATAL(5),DESTROYED,AIRPLANE,CESSNA,414,5,2,0
WPR18FA088,2/11/2018,AGUA DULCE, CA,34.463333,-118.303611,FATAL(4),SUBSTANTIAL,AIRPLANE,HASTINGS THOMAS G,CIRRUS VK 30,4,0,0
WPR20LA203,7/3/2020,ALPINE, UT,40.499168,-111.658058,FATAL,DESTROYED,AIRPLANE,CESSNA,172,4,0,0
WPR16FA084,3/13/2016,ALPINE, WY,43.190277,-111.064444,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,182A,4,0,0
ERA18LA157,6/2/2018,AMAGANSETT, NY,40.571945,-72.074723,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 31,4,0,0
CEN15FA320,7/27/2015,AMERY, WI,45.253889,-92.464167,FATAL(4),DESTROYED,AIRPLANE,BEECH,M35,4,0,0
CEN13FA183,3/3/2013,ANGEL FIRE, NM,36.406944,-105.291111,FATAL(4),SUBSTANTIAL,AIRPLANE,MOONEY,M20E,4,0,0
WPR13FA254B,5/31/2013,ANTHEM, AZ,33.864722,-112.201389,FATAL(4),DESTROYED,AIRPLANE,CESSNA,172S,4,0,0
WPR13FA254A,5/31/2013,ANTHEM, AZ,33.864722,-112.201389,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA-28-181,4,0,0
ERA11FA349,6/18/2011,ARMONK, NY,41.088889,-73.724445,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,T210N,4,0,0
ERA19FA071,12/20/2018,ATLANTA, GA,33.790555,-84.495,FATAL(4),DESTROYED,AIRPLANE,CESSNA,560,4,0,0
ERA15FA208,5/8/2015,ATLANTA, GA,33.891111,-84.272778,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA-32R-300,4,0,0
WPR10GA097,1/5/2010,AUBERRY, CA,37.146389,-119.461111,FATAL(4),SUBSTANTIAL,HELICOPTER,BELL,206B,4,0,0
ERA14FA112,2/3/2014,BELLEVUE, TN,36.041666,-86.938333,FATAL(4),DESTROYED,AIRPLANE,GULFSTREAM AM CORP COMM DIV,690,4,0,0
WPR20FA063,1/11/2020,BILLINGS, MT,46.2325,-108.365556,FATAL(4),DESTROYED,AIRPLANE,CESSNA,TR182,4,0,0
WPR11FA382,8/14/2011,BURLEY, ID,42.536944,-113.773056,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,P210N,4,0,0
WPR12FA282,6/30/2012,CAMP VERDE, AZ,34.444444,-111.789444,FATAL(4),SUBSTANTIAL,HELICOPTER,AEROSPATIALE,AS350B,4,0,0
CEN20LA201,5/31/2020,CARLINVILLE, IL,39.241664,-89.915557,FATAL,DESTROYED,AIRPLANE,PIPER,PA28,4,0,0
ERA19FA188,6/7/2019,CASTALIA, NC,36.137222,-77.995833,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA46,4,0,0
WPR15FA143,4/10/2015,CHALLIS, ID,44.593889,-114.818334,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,T210M,4,0,0
CEN12FA290,5/11/2012,CHANUTE, KS,37.638333,-96.613056,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,401,4,1,0
ERA17FA222,7/1/2017,CHATSWORTH, GA,34.711389,-84.728056,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA23,4,0,0
CEN20LA379,9/4/2020,CHESTER, AR,35.686111,-94.252502,FATAL,DESTROYED,AIRPLANE,CIRRUS,SR22,4,0,0
ANC16FA019,4/20/2016,CHUGIAK, AK,61.388611,-149.561667,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,172,4,0,0
CEN15FA307,7/18/2015,CODY, WY,44.605833,-109.419167,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T310R,4,0,0
WPR16FA152,7/27/2016,COLUMBIA, CA,38.026945,-120.412778,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,310B,4,0,0
WPR20FA072,1/22/2020,CORONA, CA,33.896111,-117.602222,FATAL(4),DESTROYED,AIRPLANE,BEECH,B36TC,4,0,0
CEN12FA083,11/26/2011,CRYSTAL LAKE, IL,42.268056,-88.381945,FATAL(4),SUBSTANTIAL,AIRPLANE,CIRRUS DESIGN CORP,SR20,4,0,0
WPR17FA044,12/29/2016,DABOB, WA,47.823611,-122.79,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,182,4,0,0
WPR10FA330,6/27/2010,DIXON, MT,47.255278,-114.508056,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA-28R-180,4,0,0
WPR12FA235,5/29/2012,DUCK CREEK VILLAGE, UT,37.435,-112.765,FATAL(4),SUBSTANTIAL,AIRPLANE,CIRRUS,SR20,4,0,0
WPR10FA287,6/11/2010,EAGAR, AZ,34.124167,-109.291389,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA-32R-300,4,0,0
ERA13FA358,8/9/2013,EAST HAVEN, CT,41.274445,-72.884722,FATAL(4),DESTROYED,AIRPLANE,ROCKWELL INTERNATIONAL,690B,4,0,0
WPR17FA024,11/18/2016,ELKO, NV,40.833889,-115.783056,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 31T,4,0,0
ERA11FA321,5/30/2011,ELLIJAY, GA,34.741666,-84.351667,FATAL(4),SUBSTANTIAL,AIRPLANE,BEECH,V35,4,0,0
CEN10FA097,1/18/2010,ELYRIA, OH,41.34,-82.193611,FATAL(4),DESTROYED,AIRPLANE,MITSUBISHI,MU-2B-60,4,0,0
ERA16FA140,3/26/2016,ENTERPRISE, AL,31.279445,-85.971111,FATAL(4),SUBSTANTIAL,HELICOPTER,EUROCOPTER,AS 350 B2,4,0,0
ERA20FA096,2/8/2020,FAIRMOUNT, GA,34.461944,-84.756389,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,501,4,0,0
ERA14FA045,11/19/2013,FORT LAUDERDALE, FL,26.163333,-80.069445,FATAL(4),DESTROYED,AIRPLANE,LEARJET,35,4,0,0
ERA15FA181,4/12/2015,FORT LAUDERDALE, FL,26.201667,-80.1775,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA-31T1,4,0,0
CEN18FA358,8/30/2018,FORT WALTON BEACH, FL,30.494722,-86.574445,FATAL(4),DESTROYED,AIRPLANE,BEECH,B60,4,0,0
ERA18FA022,11/12/2017,FOUNTAIN RUN, KY,36.773334,-85.992222,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA32,4,0,0
ANC19FA042,8/4/2019,GIRDWOOD, AK,61.036944,-149.045277,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA22-150,4,0,0
CEN17FA354,9/15/2017,GLENWOOD SPRINGS, CO,39.41,-107.21,FATAL(4),DESTROYED,AIRPLANE,CIRRUS DESIGN CORP,SR22,4,0,0
CEN13FA085,12/2/2012,GREENSBURG, IN,39.323334,85.516945,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 46-350P,4,0,0
WPR19FA022,11/9/2018,GUTHRIE CENTER, IA,41.620278,-94.521945,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA28,4,0,0
ERA14LA006,10/10/2013,HAMPTON ROADS, VA,36.780278,-76.448889,FATAL(4),DESTROYED,AIRPLANE,CESSNA,340A,4,0,0
WPR17FA085,4/7/2017,HARRISBURG, OR,44.2925,-123.182223,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 46-310P,4,0,0
CEN18FA024,11/4/2017,HATCH, NM,32.666389,-107.214444,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,172N,4,0,0
ERA17FA136,3/25/2017,HAYDEN, AL,33.909167,-86.732778,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T210,4,0,0
ERA17FA316,9/8/2017,HERTFORD, NC,36.290277,-76.4875,FATAL(4),DESTROYED,HELICOPTER,EUROCOPTER DEUTSCHLAND GMBH,MBB BK 117,4,0,0
CEN14FA224,4/27/2014,HIGHMORE, SD,44.369167,-99.463056,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 32R-300,4,0,0
CEN20LA402,9/20/2020,HILLTOP LAKES, TX,31.073888,-96.213333,FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA46,4,0,0
CEN16FA261,7/8/2016,HOUSTON, TX,29.817223,-95.665833,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 32R-300,4,0,0
CEN15FA267,6/12/2015,HUGGINS, MO,37.397777,-92.208333,FATAL(4),DESTROYED,AIRPLANE,BEECH,A36,4,1,0
ANC10FA100,8/21/2010,KATMAI NATIONAL PARK, AK,58.974167,-153.430556,FATAL(4),SUBSTANTIAL,AIRPLANE,DEHAVILLAND,DHC-2,4,0,0
ERA15FA088,1/2/2015,KUTTAWA, KY,37.033611,-88.168889,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA34,4,1,0
WPR11FA032,10/25/2010,LANDER, WY,43.161667,-109.56,FATAL(4),SUBSTANTIAL,AIRPLANE,MOONEY,M20J,4,0,0
WPR13FA008,10/9/2012,LARAMIE PEAK, WY,42.263889,-105.448889,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA-32R-301T,4,0,0
CEN14FA462,8/27/2014,LAS CRUCES, NM,32.255833,-106.982223,FATAL(4),DESTROYED,AIRPLANE,CESSNA,421C,4,0,0
CEN19FA094,3/9/2019,LONGVIEW, TX,32.461111,-94.539166,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T337,4,0,0
CEN10FA465,7/23/2010,LUDINGTON, MI,44.001667,-86.663611,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,U206F,4,1,0
CEN13FA006,10/6/2012,MABANK, TX,32.4775,-96.065,FATAL(4),DESTROYED,AIRPLANE,BEECH,A36,4,0,0
CEN13FA130,1/11/2013,MAXWELL, NE,41.201667,-100.470278,FATAL(4),DESTROYED,AIRPLANE,RAYTHEON AIRCRAFT COMPANY,58,4,0,0
WPR16FA037,12/10/2015,MCFARLAND, CA,35.673611,-119.055556,FATAL(4),DESTROYED,HELICOPTER,BELL,407,4,0,0
WPR16FA153,7/29/2016,MCKINLEYVILLE, CA,41.027223,-124.010278,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA-31T,4,0,0
ERA15FA129,2/11/2015,MIAMI, FL,25.631945,-80.480556,FATAL(4),DESTROYED,AIRPLANE,BEECH,1900,4,0,0
ERA18FA194B,7/17/2018,MIAMI, FL,25.757778,-80.556944,FATAL(4),DESTROYED,AIRPLANE,CESSNA,172,4,0,0
ERA18FA194A,7/17/2018,MIAMI, FL,25.757778,-80.556944,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA34,4,0,0
CEN18FA216,6/10/2018,MONROE, WI,42.627778,-89.5975,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T182T,4,0,0
WPR18FA095,2/22/2018,MONTICELLO, UT,37.781667,-109.173334,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA32R,4,0,0
CEN11FA599,8/26/2011,MOSBY, MO,39.356667,-94.2975,FATAL(4),SUBSTANTIAL,HELICOPTER,EUROCOPTER,AS-350-B2,4,0,0
ERA11FA312,5/25/2011,MURPHY, NC,35.188055,-84.153611,FATAL(4),SUBSTANTIAL,AIRPLANE,BEECH,58,4,0,0
CEN16FA111,2/28/2016,NAVASOTA, TX,30.356389,-96.106667,FATAL(4),SUBSTANTIAL,AIRPLANE,CIRRUS DESIGN CORP,SR20,4,0,0
WPR17FA166,7/26/2017,OGDEN, UT,41.174723,-112.018889,FATAL(4),SUBSTANTIAL,AIRPLANE,BEECH,A36TC,4,0,0
WPR14LA005,10/4/2013,PAULDEN, AZ,34.865278,-112.522778,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,340A,4,0,0
WPR17FA045,1/2/2017,PAYSON, AZ,34.429723,-111.277778,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T210K,4,0,0
CEN12FA072,11/17/2011,PERRYVILLE, AR,34.917778,-92.905556,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA-28-180,4,0,0
ANC17FA010,12/7/2016,PORT ALSWORTH, AK,60.297222,-154.117223,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA 28-180,4,0,0
CEN16FA024,10/29/2015,POTTSVILLE, AR,35.265,-93.065278,FATAL(4),DESTROYED,AIRPLANE,RAYTHEON AIRCRAFT COMPANY,A36,4,0,0
CEN13FA143,1/24/2013,RICHWOOD, LA,32.456944,-92.075278,FATAL(4),DESTROYED,AIRPLANE,RAYTHEON AIRCRAFT COMPANY,A36,4,0,0
WPR17FA066,2/27/2017,RIVERSIDE, CA,33.953889,-117.418611,FATAL(4),DESTROYED,AIRPLANE,CESSNA,T310Q,4,1,0
DCA11MA076,4/2/2011,ROSWELL, NM,33.2925,-104.525278,FATAL(4),SUBSTANTIAL,AIRPLANE,GULFSTREAM,GVI,4,0,0
ANC14MA008,11/29/2013,SAINT MARYS, AK,62.050833,-163.269167,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,208B,4,6,0
WPR13FA430,9/29/2013,SANTA MONICA, CA,34.015556,-118.451111,FATAL(4),DESTROYED,AIRPLANE,CESSNA,525A,4,0,0
ERA15FA297,8/7/2015,SARANAC LAKE, NY,44.403333,-74.203611,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA46,4,0,0
WPR14FA303,7/20/2014,SEDONA, AZ,34.9075,-111.862222,FATAL(4),DESTROYED,AIRPLANE,CESSNA,182L,4,0,0
CEN14FA249,5/23/2014,SILVER CITY, NM,32.778334,-108.202222,FATAL(4),DESTROYED,AIRPLANE,RAYTHEON AIRCRAFT COMPANY,G36,4,0,0
CEN15FA400,9/5/2015,SILVERTON, CO,37.761944,-107.845555,FATAL(4),DESTROYED,AIRPLANE,CESSNA,310H,4,0,0
CEN12FA098,12/3/2011,SILVERTON, CO,37.826945,-107.675,FATAL(4),SUBSTANTIAL,AIRPLANE,SOCATA,TB21,4,0,0
CEN12FA100,12/9/2011,SIOUX FALLS, SD,43.592222,-96.751944,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,421C,4,0,0
CEN15FA232,5/16/2015,SPRING BRANCH, TX,29.8125,-98.416389,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 24-260,4,0,0
WPR12FA230,5/26/2012,ST. GEORGE, UT,37.02,-113.517223,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,172S,4,0,0
CEN10FA394,7/13/2010,ST. IGNACE, MI,45.888055,-84.747222,FATAL(4),SUBSTANTIAL,AIRPLANE,BEECH,58,4,1,0
ERA18FA231,8/25/2018,SWAINSBORO, GA,32.609167,-82.37,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,182,4,1,0
ANC11FA071B,7/30/2011,TALKEETNA, AK,62.181667,-150.506667,FATAL(4),DESTROYED,AIRPLANE,CESSNA,180B,4,0,1
ANC11FA071A,7/30/2011,TALKEETNA, AK,62.181667,-150.506667,FATAL(4),MINOR,AIRPLANE,CESSNA,U206G,4,0,1
CEN11FA302,4/22/2011,TOPEKA, KS,39.123056,-95.588055,FATAL(4),DESTROYED,AIRPLANE,BEECH,58,4,0,0
ERA16FA185,5/16/2016,TUPELO, MS,34.291111,-88.765278,FATAL(4),DESTROYED,AIRPLANE,BEECH,A36TC,4,0,0
CEN10FA316,6/13/2010,UMPIRE, AR,34.25,-94.166667,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER,PA-28-181,4,0,0
WPR12FA274,6/23/2012,VENETA, OR,44.061667,-123.393889,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,172,4,0,0
CEN17FA064,12/31/2016,VIENNA, IL,37.354167,-88.811389,FATAL(4),DESTROYED,AIRPLANE,PIPER,PA 28R-200,4,0,0
WPR17FA170,7/28/2017,WAIPI'O, HI,21.427223,-158.084722,FATAL(4),SUBSTANTIAL,AIRPLANE,BEECH,19A,4,0,0
CEN13FA364,6/21/2013,WATERFORD, MI,42.667223,-83.412222,FATAL(4),DESTROYED,AIRPLANE,CESSNA,172M,4,0,0
WPR11FA316,7/7/2011,WATSONVILLE, CA,36.935555,-121.789722,FATAL(4),SUBSTANTIAL,AIRPLANE,MOONEY,M20F,4,0,0
WPR11FA242,6/1/2011,WENDOVER, UT,40.723334,-114.040555,FATAL(4),SUBSTANTIAL,AIRPLANE,CESSNA,172R,4,0,0
ERA11FA054,11/11/2010,WEST PALM BEACH, FL,26.683056,-80.095555,FATAL(4),SUBSTANTIAL,AIRPLANE,PIPER AIRCRAFT INC,PA-44-180,4,0,0
