ACCIDENT_NUMBER,EVENT_DATE,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
DCA16MA204,7/30/2016,LOCKHART, TX,29.8,-97.6,FATAL(16),DESTROYED,BALLOON,KUBICEK,BB85,16,0,0
WPR19MA177,6/21/2019,MOKULEIA, HI,21.580556,-158.188333,FATAL(11),DESTROYED,AIRPLANE,BEECH,65A90,11,0,0
WPR11MA454,9/16/2011,RENO, NV,39.668056,-119.876389,FATAL(11),SUBSTANTIAL,AIRPLANE,NORTH AMERICAN/AERO CLASSICS,P-51D,11,66,0
CEN19MA190,6/30/2019,ADDISON, TX,32.966111,-96.832778,FATAL(10),DESTROYED,AIRPLANE,BEECH,BE-300,10,0,0
DCA13MA121,7/7/2013,SOLDOTNA, AK,60.475278,-151.043611,FATAL(10),DESTROYED,AIRPLANE,DEHAVILLAND,DHC-3,10,0,0
CEN16MA036,11/10/2015,AKRON, OH,41.054722,-81.423611,FATAL(9),DESTROYED,AIRPLANE,BRITISH AEROSPACE,HS 125 700A,9,0,0
DCA20MA059,1/26/2020,CALABASAS, CA,34.124723,-118.788333,FATAL(9),DESTROYED,HELICOPTER,SIKORSKY,S76,9,0,0
CEN20FA022,11/30/2019,CHAMBERLAIN, SD,43.765556,-99.337222,FATAL(9),DESTROYED,AIRPLANE,PILATUS,PC12,9,3,0
ANC15MA041,6/25/2015,KETCHIKAN, AK,55.456389,-131.146111,FATAL(9),SUBSTANTIAL,AIRPLANE,DEHAVILLAND,DHC-3,9,0,0
WPR20FA206A,7/5/2020,COEUR DALENE, ID,47.519165,-116.82638,FATAL,DESTROYED,AIRPLANE,CESSNA,TU206,8,0,0
WPR20FA206B,7/5/2020,COEUR DALENE, ID,47.519165,-116.82638,FATAL,DESTROYED,AIRPLANE,DE HAVILLAND,DHC-2,8,0,0
ERA14MA271,5/31/2014,BEDFORD, MA,42.468889,-71.267778,FATAL(7),DESTROYED,AIRPLANE,GULFSTREAM AEROSPACE,G IV,7,0,0
